"Period","Banks Net Income","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Net Income to GDP","Mean_of_Ratio"
"Q1 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,12145820,NA,0.155591607164186
"Q2 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,12145820,NA,0.155591607164186
"Q3 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,12145820,NA,0.155591607164186
"Q4 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,12145820,NA,0.155591607164186
"Q1 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15270970,NA,0.155591607164186
"Q2 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15270970,NA,0.155591607164186
"Q3 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15270970,NA,0.155591607164186
"Q4 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15270970,NA,0.155591607164186
"Q1 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15311940,NA,0.155591607164186
"Q2 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15311940,NA,0.155591607164186
"Q3 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15311940,NA,0.155591607164186
"Q4 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,15311940,NA,0.155591607164186
"Q1 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,19213940,NA,0.155591607164186
"Q2 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,19213940,NA,0.155591607164186
"Q3 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,19213940,NA,0.155591607164186
"Q4 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,19213940,NA,0.155591607164186
"Q1 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,20233360,NA,0.155591607164186
"Q2 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,20233360,NA,0.155591607164186
"Q3 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,20233360,NA,0.155591607164186
"Q4 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,20233360,NA,0.155591607164186
"Q1 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,22617620,NA,0.155591607164186
"Q2 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,22617620,NA,0.155591607164186
"Q3 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,22617620,NA,0.155591607164186
"Q4 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,22617620,NA,0.155591607164186
