"Period","Fed Gov Interest Expense","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Fed Gov Interest Expense to GDP","Mean_of_Ratio"
"Q1 1990",10093,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,691928,NA,0.00550875791651804
"Q2 1990",10460,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,695624,NA,0.00550875791651804
"Q3 1990",10745,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,697684,NA,0.00550875791651804
"Q4 1990",10846,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,696768,NA,0.00550875791651804
"Q1 1991",10755,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,694008,NA,0.00550875791651804
"Q2 1991",10456,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,701572,NA,0.00550875791651804
"Q3 1991",10346,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,704796,NA,0.00550875791651804
"Q4 1991",9754,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,706716,NA,0.00550875791651804
"Q1 1992",10856,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,710008,NA,0.00550875791651804
"Q2 1992",9842,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,714744,NA,0.00550875791651804
"Q3 1992",9667,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,721660,NA,0.00550875791651804
"Q4 1992",9431,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,727332,NA,0.00550875791651804
"Q1 1993",10077,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,733952,NA,0.00550875791651804
"Q2 1993",9220,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,745360,NA,0.00550875791651804
"Q3 1993",10430,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,750068,NA,0.00550875791651804
"Q4 1993",9762,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,758768,NA,0.00550875791651804
"Q1 1994",9331,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,772656,NA,0.00550875791651804
"Q2 1994",9872,NA,-2.27635497917352,NA,NA,-314.643939393939,NA,NA,-849.249289772727,783660,NA,0.00550875791651804
