"Period","Interest Expense All Industries","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Interest Expense All Industries to GDP","Mean_of_Ratio"
"Q1 1988",8353,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,610948,NA,0.0113862780033817
"Q2 1988",8426,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,621168,NA,0.0113862780033817
"Q3 1988",8833,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,631392,NA,0.0113862780033817
"Q4 1988",9319,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,644068,NA,0.0113862780033817
"Q1 1989",10126,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,656160,NA,0.0113862780033817
"Q2 1989",10659,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,669792,NA,0.0113862780033817
"Q3 1989",10906,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,679132,NA,0.0113862780033817
"Q4 1989",11233,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,681232,NA,0.0113862780033817
"Q1 1990",12017,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,691928,NA,0.0113862780033817
"Q2 1990",12212,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,695624,NA,0.0113862780033817
"Q3 1990",12653,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,697684,NA,0.0113862780033817
"Q4 1990",12619,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,696768,NA,0.0113862780033817
"Q1 1991",12525,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,694008,NA,0.0113862780033817
"Q2 1991",12464,NA,4.05029976480214,NA,NA,859.338541666667,NA,NA,2003.72916666667,701572,NA,0.0113862780033817
