"Period","Public NFCs Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs Debt Securities to GDP","Mean_of_Ratio"
"Q1 1990",1525.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,691928,NA,0.00424358207152447
"Q2 1990",1599.8,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,695624,NA,0.00424358207152447
"Q3 1990",1552.6,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,697684,NA,0.00424358207152447
"Q4 1990",1151.8,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,696768,NA,0.00424358207152447
"Q1 1991",2218.2,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,694008,NA,0.00424358207152447
"Q2 1991",2237.9,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,701572,NA,0.00424358207152447
"Q3 1991",1681.8,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,704796,NA,0.00424358207152447
"Q4 1991",1425.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,706716,NA,0.00424358207152447
"Q1 1992",2698.5,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,710008,NA,0.00424358207152447
"Q2 1992",3288,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,714744,NA,0.00424358207152447
"Q3 1992",2890.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,721660,NA,0.00424358207152447
"Q4 1992",2342.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,727332,NA,0.00424358207152447
"Q1 1993",2884.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,733952,NA,0.00424358207152447
"Q2 1993",1718.4,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,745360,NA,0.00424358207152447
"Q3 1993",1248.9,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,750068,NA,0.00424358207152447
"Q4 1993",949.5,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,758768,NA,0.00424358207152447
"Q1 1994",789.3,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,772656,NA,0.00424358207152447
"Q2 1994",744,NA,12.7902820845302,NA,NA,699.244696969697,NA,NA,1770.32425426136,783660,NA,0.00424358207152447
