"Period","Banks Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Consumer Credit to GDP","Mean_of_Ratio"
"Q2 2011",388363,7.40216318166356,8.32621823793586,345437.833333333,42925.1666666667,24221.9126602564,264730.6875,123632.3125,64433.9957932692,1759852,0.220679352581922,0.166956606549856
"Q3 2011",394656,6.93980408893224,8.32621823793586,353843.333333333,40812.6666666667,24221.9126602564,272110.4375,122545.5625,64433.9957932692,1785748,0.221003187459821,0.166956606549856
"Q4 2011",419289,11.8500694913129,8.32621823793586,363556.333333333,55732.6666666667,24221.9126602564,280101.8125,139187.1875,64433.9957932692,1812700,0.231306338610912,0.166956606549856
"Q1 2012",418852,9.15961699843109,8.32621823793586,372630,46222,24221.9126602564,287932.6875,130919.3125,64433.9957932692,1815120,0.230757195116576,0.166956606549856
"Q2 2012",423737,9.10848870772962,8.32621823793586,381014.25,42722.75,24221.9126602564,295647.4375,128089.5625,64433.9957932692,1818984,0.232952571325531,0.166956606549856
"Q3 2012",429871,8.9229607556961,8.32621823793586,388894,40977,24221.9126602564,303315.5,126555.5,64433.9957932692,1830636,0.234820576018389,0.166956606549856
"Q4 2012",432919,3.25074113558906,8.32621823793586,395927.75,36991.25,24221.9126602564,310813.875,122105.125,64433.9957932692,1844064,0.234763543998473,0.166956606549856
"Q1 2013",435255,3.91618041694918,8.32621823793586,402679.75,32575.25,24221.9126602564,318195.21875,117059.78125,64433.9957932692,1876844,0.231907926284763,0.166956606549856
"Q2 2013",439001,3.6022344048313,8.32621823793586,409130.083333333,29870.9166666667,24221.9126602564,325544.15625,113456.84375,64433.9957932692,1886592,0.232695251543524,0.166956606549856
"Q3 2013",442216,2.87179177008917,8.32621823793586,415227.666666667,26988.3333333333,24221.9126602564,332799.78125,109416.21875,64433.9957932692,1912428,0.231232757520806,0.166956606549856
"Q4 2013",444673,2.71505755118163,8.32621823793586,421044.833333333,23628.1666666667,24221.9126602564,340019.3125,104653.6875,64433.9957932692,1933124,0.230028182361814,0.166956606549856
"Q1 2014",443231,1.83248900070074,8.32621823793586,426005.25,17225.75,24221.9126602564,347127.0625,96103.9375,64433.9957932692,1963452,0.225740685282859,0.166956606549856
"Q2 2014",449032,2.28496062651338,8.32621823793586,431061,17971,24221.9126602564,354146.90625,94885.09375,64433.9957932692,1988404,0.225825335294035,0.166956606549856
"Q3 2014",453496,2.55078965935199,8.32621823793586,435964.333333333,17531.6666666667,24221.9126602564,361114,92382,64433.9957932692,2013792,0.2251950549014,0.166956606549856
"Q4 2014",458095,3.01839778893704,8.32621823793586,439198.166666667,18896.8333333333,24221.9126602564,368195.15625,89899.84375,64433.9957932692,2013944,0.227461637463604,0.166956606549856
"Q1 2015",455624,2.79605893992072,8.32621823793586,442262.5,13361.5,24221.9126602564,375050.09375,80573.90625,64433.9957932692,1984300,0.229614473617901,0.166956606549856
