"Period","Money Supply M2","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Money Supply M2 to GDP","Mean_of_Ratio"
"Q1 1972",39841,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,108256,NA,0.559288545922521
"Q2 1972",40919,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,112364,NA,0.559288545922521
"Q3 1972",42404,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,114492,NA,0.559288545922521
"Q4 1972",43639,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,119384,NA,0.559288545922521
"Q1 1973",45501,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,124860,NA,0.559288545922521
"Q2 1973",46886,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,130152,NA,0.559288545922521
"Q3 1973",48923,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,134652,NA,0.559288545922521
"Q4 1973",51894,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,142656,NA,0.559288545922521
"Q1 1974",54743,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,149424,NA,0.559288545922521
"Q2 1974",57256,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,156088,NA,0.559288545922521
"Q3 1974",59997,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,162384,NA,0.559288545922521
"Q4 1974",60489,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,165328,NA,0.559288545922521
"Q1 1975",63548,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,167572,NA,0.559288545922521
"Q2 1975",65396,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,173748,NA,0.559288545922521
"Q3 1975",68202,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,182328,NA,0.559288545922521
"Q4 1975",70033,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,188532,NA,0.559288545922521
"Q1 1976",72183,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,196288,NA,0.559288545922521
"Q2 1976",74924,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,206268,NA,0.559288545922521
"Q3 1976",77972,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,208464,NA,0.559288545922521
"Q4 1976",80853,NA,5.78232391104603,NA,NA,68287.9799679487,NA,NA,174357.442908654,213008,NA,0.559288545922521
