"Period","Cross-Border Financial Assets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Liabilities","Ratio: Cross-Border Financial Assets to Liabilities","Mean_of_Ratio"
"Q1 1990",290964,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,560744,NA,0.957010586680574
"Q2 1990",295758,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,570757,NA,0.957010586680574
"Q3 1990",291123,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,571488,NA,0.957010586680574
"Q4 1990",300669,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,577843,NA,0.957010586680574
"Q1 1991",318454,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,620344,NA,0.957010586680574
"Q2 1991",316830,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,613400,NA,0.957010586680574
"Q3 1991",331139,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,630074,NA,0.957010586680574
"Q4 1991",347191,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,647866,NA,0.957010586680574
"Q1 1992",340538,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,651935,NA,0.957010586680574
"Q2 1992",354787,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,669812,NA,0.957010586680574
"Q3 1992",370981,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,684790,NA,0.957010586680574
"Q4 1992",375610,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,697578,NA,0.957010586680574
"Q1 1993",383392,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,738308,NA,0.957010586680574
"Q2 1993",391046,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,756874,NA,0.957010586680574
"Q3 1993",425560,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,788821,NA,0.957010586680574
"Q4 1993",441768,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,815141,NA,0.957010586680574
"Q1 1994",463900,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,817258,NA,0.957010586680574
"Q2 1994",470774,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,823728,NA,0.957010586680574
"Q3 1994",488403,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,840770,NA,0.957010586680574
"Q4 1994",506577,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,861650,NA,0.957010586680574
"Q1 1995",537585,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,924220,NA,0.957010586680574
"Q2 1995",557941,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,933905,NA,0.957010586680574
"Q3 1995",566216,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,926388,NA,0.957010586680574
"Q4 1995",608177,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,950765,NA,0.957010586680574
"Q1 1996",635972,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,988131,NA,0.957010586680574
"Q2 1996",669311,NA,9.12348993048281,NA,NA,282525.141098485,NA,NA,701306.882102273,1009155,NA,0.957010586680574
