"Period","Total Household Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Disposable Income","Ratio: Total Household Credit to Disposable Income","Mean_of_Ratio"
"Q3 2014",1774735,4.25249200660501,6.78348274075884,1670982.5,103752.5,94758.0120192308,1455837.0625,318897.9375,250590.173076923,1091132,1.62650806685167,1.35429011686757
"Q4 2014",1795815,4.45953201264114,6.78348274075884,1689349.83333333,106465.166666667,94758.0120192308,1478708.6875,317106.3125,250590.173076923,1094480,1.64079288794679,1.35429011686757
"Q1 2015",1803788,4.6607351946257,6.78348274075884,1707635,96153,94758.0120192308,1501272.5,302515.5,250590.173076923,1123592,1.60537632877415,1.35429011686757
"Q2 2015",1831803,4.9313290363381,6.78348274075884,1726323.08333333,105479.916666667,94758.0120192308,1523611.96875,308191.03125,250590.173076923,1129280,1.62209815103429,1.35429011686757
"Q3 2015",1866365,5.16302433884495,6.78348274075884,1745595.08333333,120769.916666667,94758.0120192308,1545745.78125,320619.21875,250590.173076923,1134776,1.64469904192545,1.35429011686757
"Q4 2015",1892059,5.35934937618853,6.78348274075884,1765599,126460,94758.0120192308,1567637.21875,324421.78125,250590.173076923,1131872,1.67161922902943,1.35429011686757
"Q1 2016",1900436,5.35805759878655,6.78348274075884,1786047.5,114388.5,94758.0120192308,1589038.46875,311397.53125,250590.173076923,1110684,1.71105012766908,1.35429011686757
"Q2 2016",1934151,5.58728203851615,6.78348274075884,1807485.16666667,126665.833333333,94758.0120192308,1610426.78125,323724.21875,250590.173076923,1127800,1.71497694626707,1.35429011686757
"Q3 2016",1972685,5.6966349026048,6.78348274075884,1830013.66666667,142671.333333333,94758.0120192308,1631923.15625,340761.84375,250590.173076923,1139628,1.73099028805891,1.35429011686757
"Q4 2016",1999667,5.68734907315258,6.78348274075884,1853390.16666667,146276.833333333,94758.0120192308,1653570,346097,250590.173076923,1152920,1.73443690802484,1.35429011686757
"Q1 2017",2009257,5.72610706174794,6.78348274075884,1877206.41666667,132050.583333333,94758.0120192308,1675304.09375,333952.90625,250590.173076923,1154108,1.74096098458723,1.35429011686757
"Q2 2017",2048153,5.89416234823445,6.78348274075884,1902409.5,145743.5,94758.0120192308,1697288.1875,350864.8125,250590.173076923,1181824,1.73304400655258,1.35429011686757
"Q3 2017",2082416,5.56252011851867,6.78348274075884,1928049.58333333,154366.416666667,94758.0120192308,1719329,363087,250590.173076923,1205312,1.72769872033133,1.35429011686757
"Q4 2017",2105131,5.27407813400931,6.78348274075884,1953825.91666667,151305.083333333,94758.0120192308,1741120.1875,364010.8125,250590.173076923,1217196,1.72949220996454,1.35429011686757
"Q1 2018",2108403,4.93446084796519,6.78348274075884,1979210.5,129192.5,94758.0120192308,1762724.09375,345678.90625,250590.173076923,1220756,1.72712892666512,1.35429011686757
"Q2 2018",2131431,4.06600483459976,6.78348274075884,2004179.5,127251.5,94758.0120192308,1784131.5,347299.5,250590.173076923,1230416,1.73228485325288,1.35429011686757
"Q3 2018",2158519,3.65455317285307,6.78348274075884,2028525.66666667,129993.333333333,94758.0120192308,1805515.5625,353003.4375,250590.173076923,1235708,1.74678726689477,1.35429011686757
"Q4 2018",2177824,3.45313427050383,6.78348274075884,2052339.41666667,125484.583333333,94758.0120192308,1826809.9375,351014.0625,250590.173076923,1250684,1.74130635716136,1.35429011686757
"Q1 2019",2179621,3.37781723892444,6.78348274075884,2075604.83333333,104016.166666667,94758.0120192308,1847882.9375,331738.0625,250590.173076923,1264220,1.72408362468558,1.35429011686757
"Q2 2019",2207867,3.58613532410854,6.78348274075884,2098414.5,109452.5,94758.0120192308,1869134.6875,338732.3125,250590.173076923,1286332,1.71640525152138,1.35429011686757
"Q3 2019",2239308,3.7427977238097,6.78348274075884,2120633.08333333,118674.916666667,94758.0120192308,1890515.28125,348792.71875,250590.173076923,1293460,1.73125415552085,1.35429011686757
"Q4 2019",2266609,4.07677571741334,6.78348274075884,2142878.25,123730.75,94758.0120192308,1912115.34375,354493.65625,250590.173076923,1309956,1.73029399460745,1.35429011686757
