"Period","Total Consumer Credit","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Total Consumer Credit to GDP","Mean_of_Ratio"
"Q3 1975",22795,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,105628,NA,0.413713349622429
"Q4 1975",24143,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,108216,NA,0.413713349622429
"Q1 1976",24289,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,110864,NA,0.413713349622429
"Q2 1976",25586,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,116596,NA,0.413713349622429
"Q3 1976",26642,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,114788,NA,0.413713349622429
"Q4 1976",28069,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,120168,NA,0.413713349622429
"Q1 1977",28506,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,121880,NA,0.413713349622429
"Q2 1977",29549,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,126976,NA,0.413713349622429
"Q3 1977",30354,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,128156,NA,0.413713349622429
"Q4 1977",31655,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,132176,NA,0.413713349622429
"Q1 1978",32364,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,139480,NA,0.413713349622429
"Q2 1978",33895,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,141024,NA,0.413713349622429
"Q3 1978",35133,NA,7.17037537819394,NA,NA,27522.9975961538,NA,NA,72930.0709134615,143808,NA,0.413713349622429
