"Period","Public NFCs LT Debt Securities","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Public NFCs LT Debt Securities to GDP","Mean_of_Ratio"
"Q1 1990",1367,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,691928,NA,0.00265899358880886
"Q2 1990",1452,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,695624,NA,0.00265899358880886
"Q3 1990",1236,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,697684,NA,0.00265899358880886
"Q4 1990",1029,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,696768,NA,0.00265899358880886
"Q1 1991",2073,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,694008,NA,0.00265899358880886
"Q2 1991",1731,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,701572,NA,0.00265899358880886
"Q3 1991",1211,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,704796,NA,0.00265899358880886
"Q4 1991",1213,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,706716,NA,0.00265899358880886
"Q1 1992",2697,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,710008,NA,0.00265899358880886
"Q2 1992",3004,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,714744,NA,0.00265899358880886
"Q3 1992",2701,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,721660,NA,0.00265899358880886
"Q4 1992",2633,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,727332,NA,0.00265899358880886
"Q1 1993",2142,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,733952,NA,0.00265899358880886
"Q2 1993",1644,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,745360,NA,0.00265899358880886
"Q3 1993",1368,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,750068,NA,0.00265899358880886
"Q4 1993",884,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,758768,NA,0.00265899358880886
"Q1 1994",717,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,772656,NA,0.00265899358880886
"Q2 1994",670,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,783660,NA,0.00265899358880886
"Q3 1994",698,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,800784,NA,0.00265899358880886
"Q4 1994",716,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,810788,NA,0.00265899358880886
"Q1 1995",783,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,823972,NA,0.00265899358880886
"Q2 1995",769,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,828856,NA,0.00265899358880886
"Q3 1995",767,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,832976,NA,0.00265899358880886
"Q4 1995",911,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,840680,NA,0.00265899358880886
"Q1 1996",698,NA,12.721327452515,NA,NA,439.486742424242,NA,NA,1129.82173295455,844208,NA,0.00265899358880886
