"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q3 1964",3360,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,54676,NA,0.036270832949766
"Q4 1964",3406,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,55424,NA,0.036270832949766
"Q1 1965",3493,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,57364,NA,0.036270832949766
"Q2 1965",3564,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,58764,NA,0.036270832949766
"Q3 1965",3672,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,60172,NA,0.036270832949766
"Q4 1965",3749,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,62332,NA,0.036270832949766
"Q1 1966",3804,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,64428,NA,0.036270832949766
"Q2 1966",3837,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,66592,NA,0.036270832949766
"Q3 1966",3912,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,67464,NA,0.036270832949766
"Q4 1966",4027,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,68756,NA,0.036270832949766
"Q1 1967",4117,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,69584,NA,0.036270832949766
"Q2 1967",4241,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,71840,NA,0.036270832949766
"Q3 1967",4258,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,72484,NA,0.036270832949766
"Q4 1967",4215,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,73740,NA,0.036270832949766
"Q1 1968",4175,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,75408,NA,0.036270832949766
"Q2 1968",4228,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,77760,NA,0.036270832949766
"Q3 1968",4348,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,79544,NA,0.036270832949766
"Q4 1968",4513,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,81564,NA,0.036270832949766
"Q1 1969",4586,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,83876,NA,0.036270832949766
"Q2 1969",4733,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,85564,NA,0.036270832949766
"Q3 1969",4796,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,87224,NA,0.036270832949766
"Q4 1969",4864,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,89408,NA,0.036270832949766
"Q1 1970",4895,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,91460,NA,0.036270832949766
"Q2 1970",4925,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,92284,NA,0.036270832949766
"Q3 1970",5016,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,94196,NA,0.036270832949766
"Q4 1970",5134,NA,4.82760090927788,NA,NA,3512.28044871795,NA,NA,9045.29567307692,95004,NA,0.036270832949766
