"Period","Banks Total Assets","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Banks Total Assets to GDP","Mean_of_Ratio"
"Q1 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,365257700,NA,0.00701390800526172
"Q2 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,365257700,NA,0.00701390800526172
"Q3 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,365257700,NA,0.00701390800526172
"Q4 1986",1907843,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,365257700,NA,0.00701390800526172
"Q1 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,414459900,NA,0.00701390800526172
"Q2 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,414459900,NA,0.00701390800526172
"Q3 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,414459900,NA,0.00701390800526172
"Q4 1987",2128978,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,414459900,NA,0.00701390800526172
"Q1 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,434535400,NA,0.00701390800526172
"Q2 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,434535400,NA,0.00701390800526172
"Q3 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,434535400,NA,0.00701390800526172
"Q4 1988",-1035062,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,434535400,NA,0.00701390800526172
"Q1 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,453378000,NA,0.00701390800526172
"Q2 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,453378000,NA,0.00701390800526172
"Q3 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,453378000,NA,0.00701390800526172
"Q4 1989",3279887,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,453378000,NA,0.00701390800526172
"Q1 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,477390100,NA,0.00701390800526172
"Q2 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,477390100,NA,0.00701390800526172
"Q3 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,477390100,NA,0.00701390800526172
"Q4 1990",2014553,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,477390100,NA,0.00701390800526172
"Q1 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,524030500,NA,0.00701390800526172
"Q2 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,524030500,NA,0.00701390800526172
"Q3 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,524030500,NA,0.00701390800526172
"Q4 1991",3604259,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,524030500,NA,0.00701390800526172
"Q1 1992",3741548,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,553654500,NA,0.00701390800526172
"Q2 1992",3741548,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,553654500,NA,0.00701390800526172
"Q3 1992",3741548,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,553654500,NA,0.00701390800526172
"Q4 1992",3741548,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,553654500,NA,0.00701390800526172
"Q1 1993",1884181,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,600050200,NA,0.00701390800526172
"Q2 1993",1884181,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,600050200,NA,0.00701390800526172
"Q3 1993",1884181,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,600050200,NA,0.00701390800526172
"Q4 1993",1884181,NA,15.1876968378864,NA,NA,2226983.3349359,NA,NA,5497149.65024038,600050200,NA,0.00701390800526172
"Q1 1994",2939964,56.0340540531934,15.1876968378864,3021304.75,-81340.75,2226983.3349359,2223027.15625,716936.84375,5497149.65024038,666119200,0.00441357042403222,0.00701390800526172
"Q2 1994",2939964,56.0340540531934,15.1876968378864,2965946.83333333,-25982.8333333335,2226983.3349359,2255280.9375,684683.0625,5497149.65024038,666119200,0.00441357042403222,0.00701390800526172
"Q3 1994",2939964,56.0340540531934,15.1876968378864,2910588.91666667,29375.0833333335,2226983.3349359,2287534.71875,652429.28125,5497149.65024038,666119200,0.00441357042403222,0.00701390800526172
"Q4 1994",2939964,56.0340540531934,15.1876968378864,2855231,84733,2226983.3349359,2319788.5,620175.5,5497149.65024038,666119200,0.00441357042403222,0.00701390800526172
"Q1 1995",4284316,45.726818423627,15.1876968378864,2900461.66666667,1383854.33333333,2226983.3349359,2387142.8125,1897173.1875,5497149.65024038,747991600,0.00572775950959877,0.00701390800526172
"Q2 1995",4284316,45.726818423627,15.1876968378864,2945692.33333333,1338623.66666667,2226983.3349359,2454497.125,1829818.875,5497149.65024038,747991600,0.00572775950959877,0.00701390800526172
"Q3 1995",4284316,45.726818423627,15.1876968378864,2990923,1293393,2226983.3349359,2521851.4375,1762464.5625,5497149.65024038,747991600,0.00572775950959877,0.00701390800526172
"Q4 1995",4284316,45.726818423627,15.1876968378864,3036153.66666667,1248162.33333333,2226983.3349359,2589205.75,1695110.25,5497149.65024038,747991600,0.00572775950959877,0.00701390800526172
"Q1 1996",5224373,21.9418222185292,15.1876968378864,3314503,1909870,2226983.3349359,2784813.09375,2439559.90625,5497149.65024038,831079700,0.00628624787730948,0.00701390800526172
"Q2 1996",5224373,21.9418222185292,15.1876968378864,3592852.33333333,1631520.66666667,2226983.3349359,2980420.4375,2243952.5625,5497149.65024038,831079700,0.00628624787730948,0.00701390800526172
"Q3 1996",5224373,21.9418222185292,15.1876968378864,3871201.66666667,1353171.33333333,2226983.3349359,3176027.78125,2048345.21875,5497149.65024038,831079700,0.00628624787730948,0.00701390800526172
"Q4 1996",5224373,21.9418222185292,15.1876968378864,4149551,1074822,2226983.3349359,3371635.125,1852737.875,5497149.65024038,831079700,0.00628624787730948,0.00701390800526172
"Q1 1997",6332020,21.2015298295126,15.1876968378864,4432222.33333333,1899797.66666667,2226983.3349359,3467014.28125,2865005.71875,5497149.65024038,934830100,0.0067734447147134,0.00701390800526172
"Q2 1997",6332020,21.2015298295126,15.1876968378864,4714893.66666667,1617126.33333333,2226983.3349359,3562393.4375,2769626.5625,5497149.65024038,934830100,0.0067734447147134,0.00701390800526172
