"Period","House Price Index","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","Rent Index","Ratio: House Price Index to Rent Index","Mean_of_Ratio"
"Q1 1970",5.3235,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.0349,NA,0.759920219752545
"Q2 1970",5.3809,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.271,NA,0.759920219752545
"Q3 1970",5.4771,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.424,NA,0.759920219752545
"Q4 1970",5.5441,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.5196,NA,0.759920219752545
"Q1 1971",5.5615,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.7067,NA,0.759920219752545
"Q2 1971",5.6887,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.8062,NA,0.759920219752545
"Q3 1971",5.7219,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.7961,NA,0.759920219752545
"Q4 1971",5.9248,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,27.9662,NA,0.759920219752545
"Q1 1972",6.0175,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.0399,NA,0.759920219752545
"Q2 1972",6.0816,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.1203,NA,0.759920219752545
"Q3 1972",6.2337,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.2555,NA,0.759920219752545
"Q4 1972",6.4426,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.3507,NA,0.759920219752545
"Q1 1973",6.7091,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.5157,NA,0.759920219752545
"Q2 1973",7.1358,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.6633,NA,0.759920219752545
"Q3 1973",7.7511,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.7402,NA,0.759920219752545
"Q4 1973",8.3955,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,28.8729,NA,0.759920219752545
"Q1 1974",9.1794,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,29.0761,NA,0.759920219752545
"Q2 1974",9.6941,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,29.3501,NA,0.759920219752545
"Q3 1974",9.7203,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,29.7039,NA,0.759920219752545
"Q4 1974",9.6413,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,30.0383,NA,0.759920219752545
"Q1 1975",10.036,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,30.3403,NA,0.759920219752545
"Q2 1975",10.4623,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,30.8282,NA,0.759920219752545
"Q3 1975",10.933,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,31.3657,NA,0.759920219752545
"Q4 1975",11.2463,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,31.9928,NA,0.759920219752545
"Q1 1976",11.6301,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,32.6161,NA,0.759920219752545
"Q2 1976",11.8495,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,33.0108,NA,0.759920219752545
"Q3 1976",12.0419,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,33.6176,NA,0.759920219752545
"Q4 1976",12.3056,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,34.1733,NA,0.759920219752545
"Q1 1977",12.3534,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,34.7219,NA,0.759920219752545
"Q2 1977",12.469,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,35.2528,NA,0.759920219752545
"Q3 1977",12.6121,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,35.7507,NA,0.759920219752545
"Q4 1977",12.7353,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,36.2455,NA,0.759920219752545
"Q1 1978",12.6777,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,36.7173,NA,0.759920219752545
"Q2 1978",13.121,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,37.1572,NA,0.759920219752545
"Q3 1978",13.2842,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,37.6005,NA,0.759920219752545
"Q4 1978",13.6286,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,38.008,NA,0.759920219752545
"Q1 1979",14.1115,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,38.4909,NA,0.759920219752545
"Q2 1979",14.5065,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,38.9514,NA,0.759920219752545
"Q3 1979",14.6186,NA,4.98729281580507,NA,NA,4.85474118589744,NA,NA,12.2540803485577,39.3343,NA,0.759920219752545
